U(V),I(A)
7.0311408691e-03,7.3090541743e-12
2.1093421143e-02,-2.3868592666e-13
3.5155701416e-02,-2.3741244027e-12
4.9217981689e-02,1.5390825317e-12
6.3280261963e-02,4.2138651073e-12
7.7342542236e-02,-2.1320734213e-12
9.1404822510e-02,-4.0150307192e-12
1.0546710278e-01,2.9506621168e-12
1.1952938306e-01,5.6480381553e-12
1.3359166333e-01,6.6217263187e-13
1.4765394360e-01,-2.9950383933e-13
1.6171622388e-01,3.9407779665e-12
1.7577850415e-01,7.5888041930e-12
1.8984078442e-01,-1.9710716800e-12
2.0390306470e-01,-4.4214381043e-12
2.1796534497e-01,6.1348562827e-12
2.3202762524e-01,7.4343048473e-12
2.4608990552e-01,-1.5358259935e-12
2.6015218579e-01,-3.8617122695e-12
2.7421446606e-01,3.0907831952e-12
2.8827674634e-01,1.3545687152e-11
3.0233902661e-01,-1.3066484939e-12
3.1640130688e-01,-3.5227823410e-12
3.3046358716e-01,3.1592369261e-12
3.4452586743e-01,1.5367476268e-11
3.5858814771e-01,2.4077960892e-12
3.7265042798e-01,-3.2340802180e-12
3.8671270825e-01,4.2292236679e-12
4.0077498853e-01,1.6777058713e-11
4.1483726880e-01,2.1552018679e-12
4.2889954907e-01,-4.6951154280e-13
4.4296182935e-01,9.7892180329e-12
4.5702410962e-01,2.1774418725e-11
4.7108638989e-01,1.1422151226e-12
4.8514867017e-01,4.4227802053e-13
4.9921095044e-01,9.4863040406e-12
5.1327323071e-01,2.7329029400e-11
5.2733551099e-01,3.3997384716e-12
5.4139779126e-01,6.0639492333e-13
5.5546007153e-01,1.3631221313e-11
5.6952235181e-01,3.2056496133e-11
5.8358463208e-01,4.9991152167e-12
5.9764691235e-01,3.4470703314e-12
6.1170919263e-01,1.2113243151e-11
6.2577147290e-01,3.8344903593e-11
6.3983375317e-01,7.4714274273e-12
6.5389603345e-01,-1.4533869546e-12
6.6795831372e-01,1.1948294131e-11
6.8202059399e-01,4.2100072800e-11
6.9608287427e-01,6.3215594020e-12
7.1014515454e-01,2.5431160066e-12
7.2420743481e-01,1.6193760571e-11
7.3826971509e-01,5.1427282667e-11
7.5233199536e-01,1.0754458953e-11
7.6639427563e-01,7.6735221453e-13
7.8045655591e-01,1.6738387181e-11
7.9451883618e-01,5.7600833867e-11
8.0858111645e-01,1.5236318968e-11
8.2264339673e-01,-3.9797045655e-13
8.3670567700e-01,1.9168685502e-11
8.5076795728e-01,7.0593615953e-11
8.6483023755e-01,1.8293021375e-11
8.7889251782e-01,3.0840890283e-12
8.9295479810e-01,2.1252190624e-11
9.0701707837e-01,8.5723728825e-11
9.2107935864e-01,3.0738324299e-11
9.3514163892e-01,6.8042051587e-12
9.4920391919e-01,3.1321627031e-11
9.6326619946e-01,1.0607936027e-10
9.7732847974e-01,3.9829476847e-11
9.9139076001e-01,8.8714356812e-12
1.0054530403e+00,3.9152524031e-11
1.0195153206e+00,1.4246156093e-10
1.0335776008e+00,5.4261558360e-11
1.0476398811e+00,1.9776476253e-11
1.0617021614e+00,5.3967534667e-11
1.0757644416e+00,1.7980232267e-10
1.0898267219e+00,7.4978108133e-11
1.1038890022e+00,3.0470656933e-11
1.1179512825e+00,6.4589976680e-11
1.1320135627e+00,2.1669217733e-10
1.1460758430e+00,9.4403354140e-11
1.1601381233e+00,3.7386821147e-11
1.1742004036e+00,7.3492513000e-11
1.1882626838e+00,2.4168280420e-10
1.2023249641e+00,1.0153148140e-10
1.2163872444e+00,3.6691076513e-11
1.2304495247e+00,7.3603491140e-11
1.2445118049e+00,2.4247464153e-10
1.2585740852e+00,9.4374054667e-11
1.2726363655e+00,3.4357988160e-11
1.2866986458e+00,6.7592647000e-11
1.3007609260e+00,2.3297736467e-10
1.3148232063e+00,8.7539160800e-11
1.3288854866e+00,3.3529244360e-11
1.3429477668e+00,6.7092596107e-11
1.3570100471e+00,2.2354260400e-10
1.3710723274e+00,8.3787400200e-11
1.3851346077e+00,3.2600618827e-11
1.3991968879e+00,6.4637137349e-11
1.4132591682e+00,2.1323245787e-10
1.4273214485e+00,7.3081416933e-11
1.4413837288e+00,3.3339662867e-11
1.4554460090e+00,6.3885808733e-11
1.4695082893e+00,2.1523072620e-10
1.4835705696e+00,7.3706167333e-11
1.4976328499e+00,2.5346538873e-11
1.5116951301e+00,5.1805945267e-11
1.5257574104e+00,2.6717299913e-10
1.5398196907e+00,9.0875995407e-11
1.5538819709e+00,2.1970370027e-11
1.5679442512e+00,6.8631807060e-11
1.5820065315e+00,7.4463305027e-10
1.5960688118e+00,6.3548012000e-10
1.6101310920e+00,1.5620829647e-10
1.6241933723e+00,1.5936665289e-10
1.6382556526e+00,5.3380028867e-10
1.6523179329e+00,8.9899307200e-10
1.6663802131e+00,2.3219583527e-10
1.6804424934e+00,3.7871058933e-10
1.6945047737e+00,1.7132312547e-09
1.7085670540e+00,2.0278171807e-09
1.7226293342e+00,7.9181083200e-10
1.7366916145e+00,7.7082018333e-10
1.7507538948e+00,4.7849565867e-09
1.7648161750e+00,5.9225512933e-09
1.7788784553e+00,3.1930728133e-09
1.7929407356e+00,5.5323317333e-09
1.8070030159e+00,1.6257536000e-08
1.8210652961e+00,1.1948562487e-08
1.8351275764e+00,2.2856300400e-09
1.8491898567e+00,3.1528743600e-09
1.8632521370e+00,2.7114411987e-08
1.8773144172e+00,2.3507823333e-08
1.8913766975e+00,9.3984992000e-09
1.9054389778e+00,1.2388693260e-08
1.9195012581e+00,3.5158125467e-08
1.9335635383e+00,3.0694192267e-08
1.9476258186e+00,1.3128769627e-08
1.9616880989e+00,1.6617578860e-08
1.9757503791e+00,4.7265475667e-08
1.9898126594e+00,3.8361506333e-08
2.0038749397e+00,1.5526437467e-08
2.0179372200e+00,1.9975917467e-08
2.0319995002e+00,5.6199465400e-08
2.0460617805e+00,4.8335270067e-08
2.0601240608e+00,2.0731434600e-08
2.0741863411e+00,2.8010252467e-08
2.0882486213e+00,7.0446905667e-08
2.1023109016e+00,5.9166046333e-08
2.1163731819e+00,2.6551181200e-08
2.1304354622e+00,3.9671006067e-08
2.1444977424e+00,8.2029050600e-08
2.1585600227e+00,7.0236831000e-08
2.1726223030e+00,3.4014445000e-08
2.1866845833e+00,4.6849476800e-08
2.2007468635e+00,9.8173773400e-08
2.2148091438e+00,8.2211176333e-08
2.2288714241e+00,4.1978642933e-08
2.2429208920e+00,5.5894996533e-08
2.2569491104e+00,1.0960744240e-07
2.2710113906e+00,9.8383121133e-08
2.2850736709e+00,5.3529734067e-08
2.2991359512e+00,6.6039083067e-08
2.3131982314e+00,1.1539803860e-07
2.3272605117e+00,1.0033122540e-07
2.3413227920e+00,5.7494870733e-08
2.3553850723e+00,7.2934169667e-08
2.3694473525e+00,1.2977535400e-07
2.3835096328e+00,1.1933325220e-07
2.3975719131e+00,6.5409480667e-08
2.4116341934e+00,7.7033892133e-08
2.4256964736e+00,1.4095095067e-07
2.4397587539e+00,1.3584686307e-07
2.4538210342e+00,7.3343802400e-08
2.4678833145e+00,7.9789176200e-08
2.4819455947e+00,1.4168437267e-07
2.4960078750e+00,1.2755127713e-07
