U(V),I(A)
8.0778880557e-03,3.4416341776e-12
2.2118388056e-02,6.4463961143e-12
3.6158888056e-02,1.9624550928e-11
5.0199388056e-02,4.6907157502e-11
6.4239888056e-02,4.9512265900e-11
7.8280388056e-02,3.8831109968e-11
9.2320888056e-02,2.8815352377e-11
1.0636138806e-01,3.2076704888e-11
1.2040188806e-01,2.5005513150e-11
1.3444238806e-01,3.8737913657e-11
1.4848288806e-01,6.4755179237e-11
1.6252338806e-01,6.2539906899e-11
1.7656388806e-01,4.9690116987e-11
1.9060438806e-01,5.1689548157e-11
2.0464488806e-01,5.9228883978e-11
2.1868538806e-01,6.7692595973e-11
2.3272588806e-01,8.5854598846e-11
2.4676638806e-01,9.9499565644e-11
2.6080688806e-01,1.1069236005e-10
2.7484738806e-01,1.1020973844e-10
2.8888788806e-01,1.1353149426e-10
3.0292838806e-01,1.1386035906e-10
3.1696888806e-01,1.1715752967e-10
3.3100938806e-01,1.3402947797e-10
3.4504988806e-01,1.4960895274e-10
3.5909038806e-01,1.5474225839e-10
3.7313088806e-01,1.5530179328e-10
3.8717138806e-01,1.5522835272e-10
4.0121188806e-01,1.4687246701e-10
4.1525238806e-01,1.5043259928e-10
4.2929288806e-01,1.5098074660e-10
4.4333338806e-01,1.6406878780e-10
4.5737388806e-01,1.7572689581e-10
4.7141438806e-01,1.8395257958e-10
4.8545488806e-01,1.8395257958e-10
4.9949538806e-01,1.8395257958e-10
5.1353588806e-01,1.8395257958e-10
5.2757638806e-01,1.7933695541e-10
5.4161688806e-01,1.9188128854e-10
5.5565738806e-01,1.9966314311e-10
5.6969788806e-01,2.0918838219e-10
5.8373838806e-01,2.1788899419e-10
5.9777888806e-01,2.1788899419e-10
6.1181938806e-01,2.1914992194e-10
6.2585988806e-01,2.2701146895e-10
6.3990038806e-01,2.3497056745e-10
6.5394088806e-01,2.4906419405e-10
6.6798138806e-01,2.5808615404e-10
6.8202188806e-01,2.5942923380e-10
6.9606238806e-01,2.6547254167e-10
7.1010288806e-01,2.6547254167e-10
7.2414338806e-01,2.7280491895e-10
7.3818388806e-01,2.8519732408e-10
7.5222438806e-01,2.9366764572e-10
7.6626488806e-01,3.0222575131e-10
7.8030538806e-01,3.1087060475e-10
7.9434588806e-01,3.1960260434e-10
8.0838638806e-01,3.2842026237e-10
8.2242688806e-01,3.4200581539e-10
8.3646738806e-01,3.5622195068e-10
8.5050788806e-01,3.6555265338e-10
8.6454838806e-01,3.8004121085e-10
8.7858888806e-01,4.0679236773e-10
8.9262938806e-01,4.1693543355e-10
9.0666988806e-01,4.3761788026e-10
9.2071038806e-01,4.4117190044e-10
9.3475088806e-01,4.6164027447e-10
9.4879138806e-01,4.9485079193e-10
9.6283188806e-01,5.2744926300e-10
9.7687238806e-01,5.5171462148e-10
9.9091288806e-01,5.6468614895e-10
1.0049533881e+00,5.8572754171e-10
1.0189938881e+00,6.1152677551e-10
1.0330343881e+00,6.3808389843e-10
1.0470748881e+00,6.6541569250e-10
1.0611153881e+00,6.9352809110e-10
1.0751558881e+00,7.2243522928e-10
1.0891963881e+00,7.5215120758e-10
1.1032368881e+00,7.9735587119e-10
1.1172773881e+00,8.6284447119e-10
1.1313178881e+00,9.4624538525e-10
1.1453583881e+00,9.6454829546e-10
1.1593988881e+00,9.8297575465e-10
1.1734393881e+00,1.0045888424e-09
1.1874798881e+00,1.0618455186e-09
1.2015203881e+00,1.1443873024e-09
1.2155608881e+00,1.2524414843e-09
1.2296013881e+00,1.3452568626e-09
1.2436418881e+00,1.4231511141e-09
