U(V),I(A)
9.1333462282e-03,9.2420895267e-11
2.3173846228e-02,1.3479729129e-10
3.7214346228e-02,1.7599550020e-10
5.1254846228e-02,2.2749309286e-10
6.5295346228e-02,2.7688421172e-10
7.9335846228e-02,3.2285981326e-10
9.3376346228e-02,3.6047229924e-10
1.0741684623e-01,4.0855162644e-10
1.2145734623e-01,4.4706096185e-10
1.3549784623e-01,5.0034147402e-10
1.4953834623e-01,5.4512073541e-10
1.6357884623e-01,5.8766336501e-10
1.7761934623e-01,6.4098219467e-10
1.9165984623e-01,6.9952921621e-10
2.0570034623e-01,7.4305010788e-10
2.1974084623e-01,7.8226191369e-10
2.3378134623e-01,8.3378231723e-10
2.4782184623e-01,8.8075432259e-10
2.6186234623e-01,9.4196929104e-10
2.7590284623e-01,9.8378356016e-10
2.8994334623e-01,1.0690190109e-09
3.0398384623e-01,1.1254980406e-09
3.1802434623e-01,1.1723858984e-09
3.3206484623e-01,1.2883220795e-09
3.4610534623e-01,1.3464266233e-09
3.6014584623e-01,1.4207696335e-09
3.7418634623e-01,1.5009074111e-09
3.8822684623e-01,1.5711724515e-09
4.0226734623e-01,1.6137043172e-09
4.1630784623e-01,1.7135398962e-09
4.3034834623e-01,1.8262770672e-09
4.4438884623e-01,1.9322511288e-09
4.5842934623e-01,2.0195950462e-09
4.7246984623e-01,2.1143816161e-09
4.8651034623e-01,2.1752709834e-09
5.0055084623e-01,2.2960294193e-09
5.1459134623e-01,2.4045970915e-09
5.2863184623e-01,2.5708911554e-09
5.4267234623e-01,2.6827721648e-09
5.5671284623e-01,2.8585212337e-09
5.7075334623e-01,2.9070348419e-09
5.8479384623e-01,3.0596058531e-09
5.9883434623e-01,3.2024657173e-09
6.1287484623e-01,3.3922458533e-09
6.2691534623e-01,3.5885895912e-09
6.4095584623e-01,3.7518941302e-09
6.5499634623e-01,3.9121585289e-09
6.6903684623e-01,3.9721167493e-09
6.8307734623e-01,4.0605345315e-09
6.9711784623e-01,4.2688890701e-09
7.1115834623e-01,4.4856724611e-09
7.2519884623e-01,4.6795129507e-09
7.3923934623e-01,4.8286675731e-09
7.5327984623e-01,4.9753256959e-09
7.6732034623e-01,5.0194414012e-09
7.8136084623e-01,5.1793054560e-09
7.9540134623e-01,5.3681340303e-09
8.0944184623e-01,5.4860801385e-09
8.2348234623e-01,5.6409982767e-09
8.3752284623e-01,5.8829511098e-09
8.5156334623e-01,6.1309993486e-09
8.6560384623e-01,6.3795122834e-09
8.7964434623e-01,6.5082899130e-09
8.9368484623e-01,6.7582893975e-09
9.0772534623e-01,7.0251305100e-09
9.2176584623e-01,7.2981681241e-09
9.3580634623e-01,7.5774484572e-09
9.4984684623e-01,7.8630173653e-09
9.6388734623e-01,8.1549203504e-09
9.7792784623e-01,8.4532025690e-09
9.9196834623e-01,8.6490893038e-09
1.0060088462e+00,9.0000851795e-09
1.0200493462e+00,9.6416700511e-09
1.0340898462e+00,1.0319272349e-08
1.0481303462e+00,1.0743702865e-08
1.0621708462e+00,1.1104777939e-08
1.0762113462e+00,1.1486190393e-08
1.0902518462e+00,1.2054566586e-08
1.1042923462e+00,1.3192013253e-08
1.1183328462e+00,1.4446938873e-08
1.1323733462e+00,1.4901711208e-08
1.1464138462e+00,1.5551644000e-08
1.1604543462e+00,1.6426285332e-08
1.1744948462e+00,1.7700111807e-08
1.1885353462e+00,2.0951963201e-08
1.2025758462e+00,2.4737223144e-08
1.2166163462e+00,2.7364081086e-08
1.2306568462e+00,2.9631688414e-08
1.2446973462e+00,3.1742273499e-08
1.2587378462e+00,3.3561461918e-08
1.2727783462e+00,3.5221330140e-08
1.2868188462e+00,3.6691003215e-08
1.3008593462e+00,4.1861070549e-08
1.3148998462e+00,4.8582754731e-08
1.3289403462e+00,5.6916030415e-08
1.3429808462e+00,6.0508059053e-08
1.3570213462e+00,5.7460902429e-08
1.3710618462e+00,6.0931713452e-08
1.3851023462e+00,6.7423359578e-08
1.3991428462e+00,6.9431311396e-08
1.4131833462e+00,7.1780630404e-08
1.4272238462e+00,7.8223521968e-08
1.4412643462e+00,8.7040045999e-08
1.4553048462e+00,1.0178932103e-07
1.4693453462e+00,1.1356589787e-07
1.4833858462e+00,1.1906056686e-07
1.4974263462e+00,1.2628584467e-07
1.5114668462e+00,1.3538176020e-07
1.5255073462e+00,1.4697056576e-07
1.5395478462e+00,1.6097794528e-07
1.5535883462e+00,1.7381252468e-07
1.5676288462e+00,1.8586581651e-07
1.5816693462e+00,1.9481211737e-07
1.5957098462e+00,2.0133433684e-07
1.6097503462e+00,2.0801489750e-07
1.6237908462e+00,2.1485621197e-07
1.6378313462e+00,2.2399163046e-07
1.6518718462e+00,2.3618612215e-07
1.6659123462e+00,2.4809401710e-07
