row,E_F,p_f_source,p_f_python,p_f_difference,p_t_source,p_t_python,p_t_difference,n_f_source,n_f_python,n_f_difference,n_t_source,n_t_python,n_t_difference
9.000000000000000000e+00,-9.000000000000000000e+00,4.797739545706415971e+27,4.798822504058575684e+27,1.082958352159713033e+24,4.797739545718079040e+27,4.798822504070237654e+27,1.082958352158613521e+24,1.711036352306384641e-32,1.711678786466212692e-32,6.424341598280513330e-36,-4.797739545718077941e+27,-4.798822504070238753e+27,-1.082958352160812545e+24
1.000000000000000000e+01,-8.996999999999999886e+00,4.794574644734818931e+27,4.795656885820242260e+27,1.082241085423328162e+24,4.794574644746481451e+27,4.795656885831904230e+27,1.082241085422778406e+24,1.861036352306093544e-32,1.861678786466218551e-32,6.424341601250061834e-36,-4.794574644746479802e+27,-4.795656885831905879e+27,-1.082241085426076941e+24
1.100000000000000000e+01,-8.993999999999999773e+00,4.791226108627910023e+27,4.792307656935068374e+27,1.081548307158351187e+24,4.791226108639582438e+27,4.792307656946730894e+27,1.081548307148455583e+24,2.019762130241262547e-32,2.020401431407787380e-32,6.393011665248332379e-36,-4.791226108639574192e+27,-4.792307656946731993e+27,-1.081548307157801431e+24
1.200000000000000000e+01,-8.990999999999999659e+00,4.787695267361965788e+27,4.788776146312862565e+27,1.080878950896777283e+24,4.787695267373618962e+27,4.788776146324525085e+27,1.080878950906123132e+24,2.187154829833167053e-32,2.187787928245440474e-32,6.330984122734211401e-36,-4.787695267373625559e+27,-4.788776146324526185e+27,-1.080878950900625574e+24
1.300000000000000000e+01,-8.987999999999999545e+00,4.783984665059422554e+27,4.785064896006202483e+27,1.080230946779929615e+24,4.783984665071092770e+27,4.785064896017864453e+27,1.080230946771683278e+24,2.363098315854475277e-32,2.363722265401277415e-32,6.239495468021383230e-36,-4.783984665071088372e+27,-4.785064896017866103e+27,-1.080230946777730591e+24
1.400000000000000000e+01,-8.984999999999999432e+00,4.780097994444858541e+27,4.781177595766601751e+27,1.079601321743210082e+24,4.780097994456508417e+27,4.781177595778264271e+27,1.079601321755854466e+24,2.547422239797108723e-32,2.548034273026458214e-32,6.120332293494902314e-36,-4.780097994456521611e+27,-4.781177595778264821e+27,-1.079601321743210082e+24
1.500000000000000000e+01,-8.981999999999999318e+00,4.776040003360883040e+27,4.777118989700506608e+27,1.078986339623567515e+24,4.776040003372535665e+27,4.777118989712169128e+27,1.078986339633463120e+24,2.739906424424112888e-32,2.740503999967810661e-32,5.975755436977731615e-36,-4.776040003372544461e+27,-4.777118989712170227e+27,-1.078986339625766538e+24
1.600000000000000000e+01,-8.978999999999999204e+00,4.771816378321515229e+27,4.772894759991659218e+27,1.078381670143989499e+24,4.771816378333175000e+27,4.772894760003321189e+27,1.078381670146188522e+24,2.940286333072112373e-32,2.940867173867823229e-32,5.808407957108556326e-36,-4.771816378333176100e+27,-4.772894760003322838e+27,-1.078381670146738278e+24
1.700000000000000000e+01,-8.976000000000000867e+00,4.767433611006693419e+27,4.768511393581345221e+27,1.077782574651802632e+24,4.767433611018350991e+27,4.768511393593007191e+27,1.077782574656200678e+24,3.148259345778623849e-32,3.148821467113952598e-32,5.621213353287488721e-36,-4.767433611018357588e+27,-4.768511393593008291e+27,-1.077782574650703120e+24
1.800000000000000000e+01,-8.973000000000000753e+00,4.762898854035933499e+27,4.763976038131987858e+27,1.077184096054358424e+24,4.762898854047588873e+27,4.763976038143650378e+27,1.077184096061505250e+24,3.363491543715235697e-32,3.364033270774979210e-32,5.417270597435129216e-36,-4.762898854047596569e+27,-4.763976038143651477e+27,-1.077184096054908180e+24
