# MAPbBr3 S2, dark   params: examples/MAPbBr3_S2.params
# Measured current-density-voltage function, from examples/VJT.dat.
# I(A) / area(7.7e-06 m2) -> J;  T(C) + 273.15 -> T(K).
# 214 rows read, 214 points written.
V(V)	J(A/m2)	T(K)
7.031141e-03	9.492278e-07	3.058211e+02
2.109342e-02	-3.099817e-08	2.944602e+02
3.515570e-02	-3.083278e-07	2.841933e+02
4.921798e-02	1.998808e-07	2.867796e+02
6.328026e-02	5.472552e-07	3.026190e+02
7.734254e-02	-2.768927e-07	3.145485e+02
9.140482e-02	-5.214326e-07	3.061010e+02
1.054671e-01	3.832029e-07	2.947382e+02
1.195294e-01	7.335114e-07	2.844561e+02
1.335917e-01	8.599645e-08	2.864266e+02
1.476539e-01	-3.889660e-08	3.022731e+02
1.617162e-01	5.117893e-07	3.145133e+02
1.757785e-01	9.855590e-07	3.064066e+02
1.898408e-01	-2.559833e-07	2.950691e+02
2.039031e-01	-5.742127e-07	2.847280e+02
2.179653e-01	7.967346e-07	2.860347e+02
2.320276e-01	9.654941e-07	3.018934e+02
2.460899e-01	-1.994579e-07	3.143967e+02
2.601522e-01	-5.015211e-07	3.066812e+02
2.742145e-01	4.014004e-07	2.952693e+02
2.882767e-01	1.759180e-06	2.849365e+02
3.023390e-01	-1.696946e-07	2.856782e+02
3.164013e-01	-4.575042e-07	3.015051e+02
3.304636e-01	4.102905e-07	3.142942e+02
3.445259e-01	1.995776e-06	3.069565e+02
3.585881e-01	3.127008e-07	2.955219e+02
3.726504e-01	-4.200104e-07	2.850132e+02
3.867127e-01	5.492498e-07	2.851250e+02
4.007750e-01	2.178839e-06	3.010721e+02
4.148373e-01	2.798963e-07	3.141555e+02
4.288995e-01	-6.097553e-08	3.071930e+02
4.429618e-01	1.271327e-06	2.957172e+02
4.570241e-01	2.827847e-06	2.853227e+02
4.710864e-01	1.483396e-07	2.850503e+02
4.851487e-01	5.743870e-08	3.007842e+02
4.992110e-01	1.231988e-06	3.140882e+02
5.132732e-01	3.549225e-06	3.075529e+02
5.273355e-01	4.415245e-07	2.960814e+02
5.413978e-01	7.875259e-08	2.856442e+02
5.554601e-01	1.770288e-06	2.847969e+02
5.695224e-01	4.163181e-06	3.004181e+02
5.835846e-01	6.492357e-07	3.139235e+02
5.976469e-01	4.476715e-07	3.078581e+02
6.117092e-01	1.573148e-06	2.963845e+02
6.257715e-01	4.979858e-06	2.859393e+02
6.398338e-01	9.703153e-07	2.845206e+02
6.538960e-01	-1.887516e-07	3.000350e+02
6.679583e-01	1.551727e-06	3.137565e+02
6.820206e-01	5.467542e-06	3.081426e+02
6.960829e-01	8.209817e-07	2.966205e+02
7.101452e-01	3.302748e-07	2.861414e+02
7.242074e-01	2.103086e-06	2.842458e+02
7.382697e-01	6.678868e-06	2.996619e+02
7.523320e-01	1.396683e-06	3.135863e+02
7.663943e-01	9.965613e-08	3.084651e+02
7.804566e-01	2.173817e-06	2.969242e+02
7.945188e-01	7.480628e-06	2.864229e+02
8.085811e-01	1.978743e-06	2.840147e+02
8.226434e-01	-5.168447e-08	2.992822e+02
8.367057e-01	2.489440e-06	3.133829e+02
8.507680e-01	9.168002e-06	3.087494e+02
8.648302e-01	2.375717e-06	2.971754e+02
8.788925e-01	4.005310e-07	2.866334e+02
8.929548e-01	2.760025e-06	2.837638e+02
9.070171e-01	1.113295e-05	2.988972e+02
9.210794e-01	3.991990e-06	3.131664e+02
9.351416e-01	8.836630e-07	3.090535e+02
9.492039e-01	4.067744e-06	2.974410e+02
9.632662e-01	1.377654e-05	2.868698e+02
9.773285e-01	5.172659e-06	2.835488e+02
9.913908e-01	1.152135e-06	2.985200e+02
1.005453e+00	5.084743e-06	3.129321e+02
1.019515e+00	1.850150e-05	3.093657e+02
