# MAPbBr3 S2, dark   params: examples/MAPbBr3_S2.params
# A-SCLC model branch: Fermi level swept from E_F0 downward.
# gamma = 0.500000   theta model = absolute_over_total
# ptm = injected space charge (article's ptm), not p_t.
# valid = 1 where Theta <= 1; read Theta and mu_eff through it.
E_F(eV)	V(V)	J(A/m2)	p_f(m-3)	p_t(m-3)	ptm(m-3)	Theta	mu_eff(m2/Vs)	valid
-4.840000e+00	0.000000e+00	0.000000e+00	1.414010e+12	3.212767e+16	0.000000e+00	4.401027e-05	1.188277e-07	1.000000e+00
-4.841480e+00	1.954422e-01	3.165558e-07	1.497676e+12	3.270138e+16	5.737934e+14	4.579646e-05	1.236504e-07	1.000000e+00
-4.842960e+00	3.865990e-01	6.631804e-07	1.586196e+12	3.326251e+16	1.135006e+15	4.768493e-05	1.287493e-07	1.000000e+00
-4.844440e+00	5.733107e-01	1.041795e-06	1.680265e+12	3.381057e+16	1.683167e+15	4.969397e-05	1.341737e-07	1.000000e+00
-4.845920e+00	7.554386e-01	1.453967e-06	1.779677e+12	3.434518e+16	2.217872e+15	5.181468e-05	1.398996e-07	1.000000e+00
-4.847400e+00	9.328651e-01	1.902020e-06	1.885306e+12	3.486597e+16	2.738774e+15	5.407004e-05	1.459891e-07	1.000000e+00
-4.848880e+00	1.105493e+00	2.386712e-06	1.996318e+12	3.537268e+16	3.245587e+15	5.643355e-05	1.523706e-07	1.000000e+00
-4.850360e+00	1.273246e+00	2.911698e-06	2.114559e+12	3.586506e+16	3.738089e+15	5.895527e-05	1.591792e-07	1.000000e+00
-4.851840e+00	1.436066e+00	3.478270e-06	2.239621e+12	3.634296e+16	4.216109e+15	6.162084e-05	1.663763e-07	1.000000e+00
-4.853320e+00	1.593916e+00	4.088509e-06	2.371840e+12	3.680625e+16	4.679534e+15	6.443708e-05	1.739801e-07	1.000000e+00
-4.854800e+00	1.746773e+00	4.745945e-06	2.512302e+12	3.725488e+16	5.128305e+15	6.743098e-05	1.820636e-07	1.000000e+00
-4.856280e+00	1.894636e+00	5.452620e-06	2.661125e+12	3.768884e+16	5.562410e+15	7.060281e-05	1.906276e-07	1.000000e+00
-4.857760e+00	2.037514e+00	6.209690e-06	2.818092e+12	3.810815e+16	5.981883e+15	7.394438e-05	1.996498e-07	1.000000e+00
-4.859240e+00	2.175436e+00	7.022771e-06	2.985026e+12	3.851291e+16	6.386804e+15	7.750114e-05	2.092531e-07	1.000000e+00
-4.860720e+00	2.308442e+00	7.893072e-06	3.161644e+12	3.890322e+16	6.777292e+15	8.126288e-05	2.194098e-07	1.000000e+00
-4.862200e+00	2.436584e+00	8.823819e-06	3.348583e+12	3.927924e+16	7.153502e+15	8.524344e-05	2.301573e-07	1.000000e+00
-4.863680e+00	2.559928e+00	9.818294e-06	3.546453e+12	3.964116e+16	7.515623e+15	8.945588e-05	2.415309e-07	1.000000e+00
-4.865160e+00	2.678548e+00	1.088062e-05	3.756126e+12	3.998921e+16	7.863876e+15	9.391967e-05	2.535831e-07	1.000000e+00
-4.866640e+00	2.792528e+00	1.201532e-05	3.978540e+12	4.032362e+16	8.198508e+15	9.865552e-05	2.663699e-07	1.000000e+00
-4.868120e+00	2.901960e+00	1.322438e-05	4.213758e+12	4.064466e+16	8.519787e+15	1.036623e-04	2.798883e-07	1.000000e+00
-4.869600e+00	3.006944e+00	1.451371e-05	4.463125e+12	4.095263e+16	8.828005e+15	1.089707e-04	2.942210e-07	1.000000e+00
-4.871080e+00	3.107584e+00	1.588638e-05	4.727025e+12	4.124783e+16	9.123472e+15	1.145874e-04	3.093861e-07	1.000000e+00
-4.872560e+00	3.203991e+00	1.734790e-05	5.006583e+12	4.153059e+16	9.406510e+15	1.205372e-04	3.254503e-07	1.000000e+00
-4.874040e+00	3.296279e+00	1.890267e-05	5.302552e+12	4.180124e+16	9.677457e+15	1.268355e-04	3.424557e-07	1.000000e+00
-4.875520e+00	3.384566e+00	2.055575e-05	5.615859e+12	4.206013e+16	9.936657e+15	1.335020e-04	3.604553e-07	1.000000e+00
-4.877000e+00	3.468973e+00	2.231376e-05	5.947817e+12	4.230760e+16	1.018446e+16	1.405653e-04	3.795263e-07	1.000000e+00
-4.878480e+00	3.549622e+00	2.418433e-05	6.299959e+12	4.254403e+16	1.042124e+16	1.480590e-04	3.997593e-07	1.000000e+00
-4.879960e+00	3.626636e+00	2.617025e-05	6.672519e+12	4.276976e+16	1.064734e+16	1.559859e-04	4.211618e-07	1.000000e+00
-4.881440e+00	3.700139e+00	2.827949e-05	7.067069e+12	4.298516e+16	1.086314e+16	1.643802e-04	4.438264e-07	1.000000e+00
-4.882920e+00	3.770256e+00	3.051981e-05	7.485086e+12	4.319059e+16	1.106899e+16	1.732736e-04	4.678387e-07	1.000000e+00
-4.884400e+00	3.837109e+00	3.289659e-05	7.927432e+12	4.338642e+16	1.126526e+16	1.826835e-04	4.932455e-07	1.000000e+00
-4.885880e+00	3.900821e+00	3.541951e-05	8.396000e+12	4.357301e+16	1.145232e+16	1.926510e-04	5.201576e-07	1.000000e+00
-4.887360e+00	3.961514e+00	3.809817e-05	8.892600e+12	4.375070e+16	1.163050e+16	2.032149e-04	5.486802e-07	1.000000e+00
-4.888840e+00	4.019306e+00	4.094016e-05	9.418555e+12	4.391984e+16	1.180017e+16	2.144028e-04	5.788875e-07	1.000000e+00
-4.890320e+00	4.074315e+00	4.395334e-05	9.975233e+12	4.408078e+16	1.196167e+16	2.262432e-04	6.108566e-07	1.000000e+00
-4.891800e+00	4.126656e+00	4.714892e-05	1.056475e+13	4.423386e+16	1.211534e+16	2.387815e-04	6.447101e-07	1.000000e+00
-4.893280e+00	4.176443e+00	5.054151e-05	1.118993e+13	4.437940e+16	1.226151e+16	2.520789e-04	6.806132e-07	1.000000e+00
-4.894760e+00	4.223784e+00	5.413523e-05	1.185125e+13	4.451773e+16	1.240049e+16	2.661433e-04	7.185869e-07	1.000000e+00
-4.896240e+00	4.268787e+00	5.794873e-05	1.255236e+13	4.464915e+16	1.253262e+16	2.810542e-04	7.588463e-07	1.000000e+00
-4.897720e+00	4.311556e+00	6.198934e-05	1.329440e+13	4.477397e+16	1.265818e+16	2.968345e-04	8.014530e-07	1.000000e+00
-4.899200e+00	4.352192e+00	6.627317e-05	1.408042e+13	4.489249e+16	1.277748e+16	3.135492e-04	8.465828e-07	1.000000e+00
-4.900680e+00	4.390793e+00	7.081516e-05	1.491314e+13	4.500498e+16	1.289081e+16	3.312566e-04	8.943929e-07	1.000000e+00
-4.902160e+00	4.427454e+00	7.562963e-05	1.579515e+13	4.511174e+16	1.299844e+16	3.500114e-04	9.450307e-07	1.000000e+00
-4.903640e+00	4.462267e+00	8.072985e-05	1.672878e+13	4.521301e+16	1.310065e+16	3.698625e-04	9.986288e-07	1.000000e+00
-4.905120e+00	4.495320e+00	8.613642e-05	1.771789e+13	4.530906e+16	1.319769e+16	3.908924e-04	1.055409e-06	1.000000e+00
