# MAPbBr3 S2, dark   params: examples/MAPbBr3_S2.params
# ALTERNATIVE reading: modelled J sampled at the measured voltages,
# log-log interpolation of the model curve; nan outside its V range.
# Row-for-row comparable with the measurement.
V(V)	J_meas(A/m2)	J_model(A/m2)
7.031141e-03	9.492278e-07	nan
2.109342e-02	-3.099817e-08	nan
3.515570e-02	-3.083278e-07	nan
4.921798e-02	1.998808e-07	nan
6.328026e-02	5.472552e-07	nan
7.734254e-02	-2.768927e-07	nan
9.140482e-02	-5.214326e-07	nan
1.054671e-01	3.832029e-07	nan
1.195294e-01	7.335114e-07	nan
1.335917e-01	8.599645e-08	nan
1.476539e-01	-3.889660e-08	nan
1.617162e-01	5.117893e-07	nan
1.757785e-01	9.855590e-07	nan
1.898408e-01	-2.559833e-07	nan
2.039031e-01	-5.742127e-07	3.314402e-07
2.179653e-01	7.967346e-07	3.562929e-07
2.320276e-01	9.654941e-07	3.812811e-07
2.460899e-01	-1.994579e-07	4.063971e-07
2.601522e-01	-5.015211e-07	4.316343e-07
2.742145e-01	4.014004e-07	4.569867e-07
2.882767e-01	1.759180e-06	4.824488e-07
3.023390e-01	-1.696946e-07	5.080157e-07
3.164013e-01	-4.575042e-07	5.336829e-07
3.304636e-01	4.102905e-07	5.594464e-07
3.445259e-01	1.995776e-06	5.853024e-07
3.585881e-01	3.127008e-07	6.112474e-07
3.726504e-01	-4.200104e-07	6.372782e-07
3.867127e-01	5.492498e-07	6.634040e-07
4.007750e-01	2.178839e-06	6.911277e-07
4.148373e-01	2.798963e-07	7.189940e-07
4.288995e-01	-6.097553e-08	7.469988e-07
4.429618e-01	1.271327e-06	7.751383e-07
4.570241e-01	2.827847e-06	8.034086e-07
4.710864e-01	1.483396e-07	8.318064e-07
4.851487e-01	5.743870e-08	8.603285e-07
4.992110e-01	1.231988e-06	8.889717e-07
5.132732e-01	3.549225e-06	9.177331e-07
5.273355e-01	4.415245e-07	9.466100e-07
5.413978e-01	7.875259e-08	9.755998e-07
5.554601e-01	1.770288e-06	1.004700e-06
5.695224e-01	4.163181e-06	1.033908e-06
5.835846e-01	6.492357e-07	1.064396e-06
5.976469e-01	4.476715e-07	1.095465e-06
6.117092e-01	1.573148e-06	1.126687e-06
6.257715e-01	4.979858e-06	1.158059e-06
