# MAPbBr3 S2, dark   params: examples/MAPbBr3_S2.params
# ALTERNATIVE reading: analysis branch applied to examples/VJT.dat.
# One row per measured point; p_t is the total space charge of Eq (6).
# valid = 1 at 100 of 214 points; the rest are not physical.
V(V)	J(A/m2)	T(K)	m	gamma	mu_eff(m2/Vs)	p_f(m-3)	p_t(m-3)	Theta	E_F(eV)	valid
7.031141e-03	9.492278e-07	3.058211e+02	-6.908452e-01	-1.447502e+00	6.314681e-04	5.431467e+13	2.322360e+14	2.338771e-01	-4.918352e+00	0.000000e+00
2.109342e-02	-3.099817e-08	2.944602e+02	-2.288010e-01	-4.370611e+00	-3.057885e-07	-3.199522e+11	2.825061e+15	-1.132550e-04	-4.814090e+00	0.000000e+00
3.515570e-02	-3.083278e-07	2.841933e+02	-1.555149e-01	-6.430252e+00	-4.519614e-07	-1.442957e+12	8.620171e+15	-1.673931e-04	-4.878987e+00	0.000000e+00
4.921798e-02	1.998808e-07	2.867796e+02	4.261700e-03	2.346481e+02	-6.242045e-12	-2.421168e+10	1.047277e+19	-2.311868e-09	-4.771255e+00	0.000000e+00
6.328026e-02	5.472552e-07	3.026190e+02	1.401707e+00	7.134161e-01	2.756070e-04	9.323106e+12	9.133436e+13	1.020767e-01	-4.879735e+00	0.000000e+00
7.734254e-02	-2.768927e-07	3.145485e+02	6.467750e-01	1.546133e+00	3.936256e-04	-1.094060e+13	-7.504496e+13	1.457873e-01	-4.854894e+00	0.000000e+00
9.140482e-02	-5.214326e-07	3.061010e+02	-1.658416e-01	-6.029849e+00	-1.317237e-07	-9.853687e+11	2.019754e+16	-4.878656e-05	-4.811948e+00	0.000000e+00
1.054671e-01	3.832029e-07	2.947382e+02	-2.305401e+00	-4.337641e-01	3.880833e-06	2.070667e+12	1.440619e+15	1.437345e-03	-4.860761e+00	0.000000e+00
1.195294e-01	7.335114e-07	2.844561e+02	-1.398140e+00	-7.152359e-01	3.884037e-06	3.134742e+12	2.179125e+15	1.438532e-03	-4.897323e+00	0.000000e+00
1.335917e-01	8.599645e-08	2.864266e+02	-4.244921e-01	-2.355757e+00	7.240507e-08	2.049815e+11	7.643802e+15	2.681669e-05	-4.825020e+00	0.000000e+00
1.476539e-01	-3.889660e-08	3.022731e+02	2.201153e-01	4.543073e+00	7.448841e-08	1.436762e+11	5.207868e+15	2.758830e-05	-4.771890e+00	0.000000e+00
1.617162e-01	5.117893e-07	3.145133e+02	1.700966e+00	5.879011e-01	2.278333e-05	3.108491e+12	3.683801e+14	8.438272e-03	-4.820876e+00	0.000000e+00
1.757785e-01	9.855590e-07	3.064066e+02	5.102414e+00	1.959856e-01	1.166198e-05	4.310761e+12	9.980345e+14	4.319251e-03	-4.850110e+00	0.000000e+00
1.898408e-01	-2.559833e-07	2.950691e+02	4.912582e+00	2.035589e-01	-2.643735e-06	-1.041085e+12	1.063242e+15	-9.791611e-04	-4.842427e+00	0.000000e+00
2.039031e-01	-5.742127e-07	2.847280e+02	-8.145656e-01	-1.227648e+00	-5.693393e-07	-1.210152e+12	5.738952e+15	-2.108664e-04	-4.873282e+00	0.000000e+00
2.179653e-01	7.967346e-07	2.860347e+02	-1.086501e+00	-9.203856e-01	9.795684e-07	1.736054e+12	4.785112e+15	3.628031e-04	-4.878764e+00	0.000000e+00
2.320276e-01	9.654941e-07	3.018934e+02	-6.787167e-02	-1.473369e+01	3.894226e-09	3.449017e+11	2.391321e+17	1.442306e-06	-4.795736e+00	0.000000e+00
2.460899e-01	-1.994579e-07	3.143967e+02	6.801074e-01	1.470356e+00	2.387997e-05	-2.122514e+12	-2.399831e+14	8.844434e-03	-4.810835e+00	0.000000e+00
2.601522e-01	-5.015211e-07	3.066812e+02	-1.810292e+00	-5.523971e-01	-7.009705e-07	-1.047588e+12	4.035103e+15	-2.596187e-04	-4.812035e+00	0.000000e+00
2.742145e-01	4.014004e-07	2.952693e+02	-9.103963e-01	-1.098423e+00	2.535056e-07	6.552754e+11	6.979110e+15	9.389097e-05	-4.830121e+00	0.000000e+00
2.882767e-01	1.759180e-06	2.849365e+02	9.387449e-01	1.065252e+00	-3.551995e-04	9.054893e+12	-6.882952e+13	-1.315554e-01	-4.922153e+00	0.000000e+00
3.023390e-01	-1.696946e-07	2.856782e+02	2.037138e+00	4.908848e-01	-1.531735e-06	-5.158561e+11	9.093031e+14	-5.673093e-04	-4.849809e+00	0.000000e+00
3.164013e-01	-4.575042e-07	3.015051e+02	2.917448e-01	3.427653e+00	8.835919e-07	1.404790e+12	4.292629e+15	3.272563e-04	-4.833283e+00	0.000000e+00
3.304636e-01	4.102905e-07	3.142942e+02	-1.389104e+00	-7.198883e-01	2.824924e-07	6.331314e+11	6.051332e+15	1.046268e-04	-4.778337e+00	0.000000e+00
3.445259e-01	1.995776e-06	3.069565e+02	2.837367e+00	3.524395e-01	9.151027e-06	4.876696e+12	1.438864e+15	3.389269e-03	-4.851992e+00	0.000000e+00
3.585881e-01	3.127008e-07	2.955219e+02	3.275819e+00	3.052671e-01	1.165955e-06	7.136888e+11	1.652689e+15	4.318350e-04	-4.831621e+00	0.000000e+00
3.726504e-01	-4.200104e-07	2.850132e+02	-3.503334e-01	-2.854424e+00	-3.185567e-08	-3.220311e+11	2.729448e+16	-1.179840e-05	-4.840022e+00	0.000000e+00
